"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-09 19:03:00"",""1.64794922"""
"Y for Smartbrick 141425,""2022-03-09 19:13:00"",""1.6418457"""
"Y for Smartbrick 141425,""2022-03-09 19:23:00"",""1.6418457"""
"Y for Smartbrick 141425,""2022-03-09 19:33:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 19:43:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 19:53:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 20:03:01"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 20:13:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 20:23:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 20:33:00"",""1.62353516"""
"Y for Smartbrick 141425,""2022-03-09 20:43:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 20:53:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 21:03:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-09 21:13:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 21:23:00"",""1.62353516"""
"Y for Smartbrick 141425,""2022-03-09 21:33:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 21:43:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 21:53:01"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 22:03:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 22:13:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 22:23:00"",""1.62353516"""
"Y for Smartbrick 141425,""2022-03-09 22:33:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 22:43:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 22:53:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:03:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:13:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:23:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:32:59"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:43:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-09 23:52:59"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-10 00:02:59"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-10 00:13:00"",""1.62353516"""
"Y for Smartbrick 141425,""2022-03-10 00:22:59"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-10 00:33:00"",""1.63574219"""
"Y for Smartbrick 141425,""2022-03-10 00:43:00"",""1.62963867"""
"Y for Smartbrick 141425,""2022-03-10 00:53:00"",""1.62963867"""
