"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-09 18:32:03"",""8.9"""
"Temperature for Smartbrick 141419,""2022-03-09 18:42:02"",""8.6"""
"Temperature for Smartbrick 141419,""2022-03-09 18:52:01"",""8.4"""
"Temperature for Smartbrick 141419,""2022-03-09 19:02:01"",""8.2"""
"Temperature for Smartbrick 141419,""2022-03-09 19:12:04"",""8"""
"Temperature for Smartbrick 141419,""2022-03-09 19:22:03"",""7.8"""
"Temperature for Smartbrick 141419,""2022-03-09 19:32:03"",""7.6"""
"Temperature for Smartbrick 141419,""2022-03-09 19:42:03"",""7.5"""
"Temperature for Smartbrick 141419,""2022-03-09 19:52:03"",""7.4"""
"Temperature for Smartbrick 141419,""2022-03-09 20:01:59"",""7.4"""
"Temperature for Smartbrick 141419,""2022-03-09 20:12:04"",""7.3"""
"Temperature for Smartbrick 141419,""2022-03-09 20:22:03"",""7.2"""
"Temperature for Smartbrick 141419,""2022-03-09 20:32:02"",""7.2"""
"Temperature for Smartbrick 141419,""2022-03-09 20:42:02"",""7.2"""
"Temperature for Smartbrick 141419,""2022-03-09 20:52:01"",""7.1"""
"Temperature for Smartbrick 141419,""2022-03-09 21:12:03"",""6.9"""
"Temperature for Smartbrick 141419,""2022-03-09 21:22:02"",""6.8"""
"Temperature for Smartbrick 141419,""2022-03-09 21:32:01"",""6.8"""
"Temperature for Smartbrick 141419,""2022-03-09 21:42:00"",""6.7"""
"Temperature for Smartbrick 141419,""2022-03-09 21:52:05"",""6.6"""
"Temperature for Smartbrick 141419,""2022-03-09 22:02:04"",""6.6"""
"Temperature for Smartbrick 141419,""2022-03-09 22:12:04"",""6.6"""
"Temperature for Smartbrick 141419,""2022-03-09 22:22:01"",""6.6"""
"Temperature for Smartbrick 141419,""2022-03-09 22:32:01"",""6.6"""
"Temperature for Smartbrick 141419,""2022-03-09 22:42:00"",""6.7"""
"Temperature for Smartbrick 141419,""2022-03-09 22:52:04"",""6.7"""
"Temperature for Smartbrick 141419,""2022-03-09 23:02:03"",""6.5"""
"Temperature for Smartbrick 141419,""2022-03-09 23:12:02"",""6.4"""
"Temperature for Smartbrick 141419,""2022-03-09 23:22:01"",""6.3"""
"Temperature for Smartbrick 141419,""2022-03-09 23:32:00"",""6.3"""
"Temperature for Smartbrick 141419,""2022-03-09 23:42:04"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-09 23:52:03"",""6"""
"Temperature for Smartbrick 141419,""2022-03-10 00:02:03"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-10 00:12:01"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-10 00:22:01"",""5.7"""
"Temperature for Smartbrick 141419,""2022-03-10 00:32:05"",""5.6"""
"Temperature for Smartbrick 141419,""2022-03-10 00:42:04"",""5.5"""
"Temperature for Smartbrick 141419,""2022-03-10 00:52:03"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-10 01:02:02"",""5.3"""
"Temperature for Smartbrick 141419,""2022-03-10 01:12:00"",""5.1"""
"Temperature for Smartbrick 141419,""2022-03-10 01:22:00"",""5.1"""
"Temperature for Smartbrick 141419,""2022-03-10 01:32:04"",""5"""
"Temperature for Smartbrick 141419,""2022-03-10 01:42:03"",""5"""
"Temperature for Smartbrick 141419,""2022-03-10 01:52:02"",""5"""
"Temperature for Smartbrick 141419,""2022-03-10 02:02:08"",""5"""
"Temperature for Smartbrick 141419,""2022-03-10 02:12:00"",""5"""
"Temperature for Smartbrick 141419,""2022-03-10 02:22:04"",""4.9"""
"Temperature for Smartbrick 141419,""2022-03-10 02:32:03"",""4.8"""
"Temperature for Smartbrick 141419,""2022-03-10 02:42:03"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-10 02:52:02"",""4.5"""
"Temperature for Smartbrick 141419,""2022-03-10 03:02:00"",""4.4"""
"Temperature for Smartbrick 141419,""2022-03-10 03:12:05"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-10 03:22:04"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-10 03:32:02"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-10 03:42:01"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-10 03:52:01"",""4"""
"Temperature for Smartbrick 141419,""2022-03-10 04:01:59"",""3.9"""
"Temperature for Smartbrick 141419,""2022-03-10 04:12:04"",""3.8"""
"Temperature for Smartbrick 141419,""2022-03-10 04:22:03"",""3.7"""
"Temperature for Smartbrick 141419,""2022-03-10 04:32:02"",""3.6"""
"Temperature for Smartbrick 141419,""2022-03-10 04:42:01"",""3.6"""
"Temperature for Smartbrick 141419,""2022-03-10 04:52:00"",""3.5"""
"Temperature for Smartbrick 141419,""2022-03-10 05:02:05"",""3.4"""
